id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
232,Дошкольная педагогика,Predškolská pedagogika,,2,,0,4,84,9,,,
233,Евангельское богословие,Evanjelická teológia,,5,,0,4,5,8,,,
234,Евангельское богословие,Evanjelikálna teológia,,2,,0,4,87,8,,,
235,Евангельское богословие и миссия,Evanjelikálna teológia a misia,,3,,0,1,87,8,,,
236,Евангельское богословие с акцентом на социальную помощь,Evanjelická teológia so zameraním na sociálnu pomoc,,3,,0,1,5,8,,,
237,"Евангельское богословие, сосредоточенное на управлении социальной помощью",Evanjelická teológia so zameraním na riadenie sociálnej pomoci,,2,,0,4,5,8,,,
238,Европейские исследования,Európske štúdiá,,2,,0,4,41,16,,,
239,Европейские исследования,Európske štúdiá,,3,,0,1,41,16,,,
240,Европейские исследования,Európske štúdiá,,2,,0,4,71,7,,,
241,Европейские исследования,Európske štúdiá,,3,,0,1,71,7,,,
242,Европейские исследования и политика,Európske štúdiá a politiky,,3,,0,1,42,16,,,
243,Европейские исследования и политика,Európske štúdiá a politiky,,2,,0,4,42,16,,,
244,Европейское государственное управление,Európska verejná správa,,3,,0,1,51,16,,,
245,Европейское государственное управление,Európska verejná správa,,2,,0,4,51,16,,,
246,Железнодорожный транспорт,Železničná doprava,,2,,0,3,34,30,,,
247,Железнодорожный транспорт,Železničná doprava,,3,,0,1,34,30,,,
248,Живопись,Maliarstvo,,4,,0,1,116,1,,,
249,Живопись и графика,Maľba-grafika,,4,,0,1,53,1,,,
250,Журналистика,Žurnalistika,,2,,0,4,63,12,,,
251,Журналистика,Žurnalistika,,3,,0,1,63,12,,,
252,Журналистика,Žurnalistika,,2,,0,4,66,12,,,
253,Журналистика,Žurnalistika,,3,,0,1,66,12,,,
254,Журналистика,Žurnalistika,,3,,0,1,67,12,,,
255,Журналистика,Žurnalistika,,2,,0,4,67,12,,,
256,Журналистика - история,Žurnalistika - história,,3,,0,1,67,12,7,,
257,Защита и восстановление окружающей среды,Ochrana a obnova životného prostredia,,3,,0,1,37,14,,,
258,Защита материалов и объектов наследования,Ochrana materiálov a objektov dedičstva,,2,,0,3,12,27,,,
259,Защита окружающей среды,Stráž prírody,,3,,0,1,114,14,,,
260,Защита окружающей среды и экотехнологии сырья,Ochrana životného prostredia a ekotechnológie surovín,,3,,0,1,9,15,,,
261,Защита природы и использование ресурсов страны,Ochrana a využívanie krajiny,,2,,0,3,14,14,,,
262,Защита природы и использование ресурсов страны,Ochrana a využívanie krajiny,,3,,0,1,14,14,,,
263,Здравоохранение,Verejné zdravotníctvo,,2,,0,4,50,6,,,
264,Здравоохранение,Verejné zdravotníctvo,,3,,0,1,57,6,,,
265,Здравоохранение,Verejné zdravotníctvo,,2,,0,4,59,6,,,
266,Здравоохранение,Verejné zdravotníctvo,,2,,0,4,73,6,,,
267,Здравоохранение,Verejné zdravotníctvo,,2,,0,4,76,6,,,
268,Зоология,Zoológia,,2,,0,4,94,13,,,
269,Зоология и физиология животных,Zoológia a fyziológia živočíchov,,2,,0,4,95,13,,,
270,Измерение и менеджмент качества в инженерии,Meranie a manažérstvo kvality v strojárstve,,3,,0,1,101,20,,,
271,Измерение и тестирование,Meranie a skúšobníctvo,,2,,0,3,101,20,,,
272,Измерительная и информационная техника,Meracia a informačná technika,,2,,0,3,18,20,,,
273,Изобразительное искусство,Vizuálne umenia,,2,,0,2,116,1,,,
