id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
778,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,84,9,,,
779,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,84,9,,,
780,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,85,9,,,
781,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,85,9,,,
782,преподавание обычной и церковной музыки,učiteľstvo hudby a cirkevnej hudby,,2,,0,4,106,9,,,
783,преподавание обычной и церковной музыки,učiteľstvo hudby a cirkevnej hudby,,3,,0,1,106,9,,,
784,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,3,,1,1,22,9,,,
785,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,2,,1,4,22,9,,,
786,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,2,,1,4,66,9,,,
787,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,3,,1,1,66,9,,,
788,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,3,,1,1,85,9,,,
789,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,2,,1,4,85,9,,,
790,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,3,,1,1,86,9,,,
791,преподавание педагогики,učiteľstvo pedagogiky (v kombinácii),,2,,1,4,86,9,,,
792,преподавание практической подготовки,učiteľstvo praktickej prípravy,,3,,0,1,36,9,,,
793,преподавание практической подготовки,učiteľstvo praktickej prípravy,,3,,0,1,86,9,,,
794,преподавание профессиональных экономических предметов,učiteľstvo odborných ekonomických predmetov (v kombinácii),,3,,1,1,38,9,,,
795,преподавание профессиональных экономических предметов,učiteľstvo odborných ekonomických predmetov (v kombinácii),,2,,1,4,38,9,,,
796,преподавание психологии,učiteľstvo psychológie (v kombinácii),,2,,1,4,69,9,,,
797,преподавание психологии,učiteľstvo psychológie (v kombinácii),,3,,1,1,85,9,,,
798,преподавание психологии,učiteľstvo psychológie (v kombinácii),,3,,1,1,86,9,,,
799,преподавание психологии,učiteľstvo psychológie (v kombinácii),,2,,1,4,86,9,,,
800,преподавание психологии,učiteľstvo psychológie (v kombinácii),,3,,1,1,87,9,,,
801,преподавание психологии,učiteľstvo psychológie (v kombinácii),,2,,1,4,87,9,,,
802,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,3,,1,1,5,9,,,
803,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,2,,1,4,5,9,,,
804,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,3,,1,1,67,9,,,
805,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,2,,1,4,67,9,,,
806,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,2,,1,4,84,9,,,
807,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,3,,1,1,84,9,,,
808,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,2,,1,4,106,9,,,
809,преподавание религиозного воспитания,učiteľstvo náboženskej výchovy (v kombinácii),,3,,1,1,106,9,,,
810,преподавание романского языка и литературы,učiteľstvo románskych jazykov a literatúr (v kombinácii),,2,,1,4,67,9,,,
811,преподавание романского языка и литературы,učiteľstvo románskych jazykov a literatúr (v kombinácii),,3,,1,1,67,9,,,
812,преподавание ромского языка и литературы,"učiteľstvo rómskeho jazyka, literatúry a reálií (v kombinácii)",,3,,1,1,107,9,,,
813,преподавание русинского языка и литературы,učiteľstvo rusínskeho jazyka a literatúry (v kombinácii),,2,,1,4,107,9,,,
814,преподавание русинского языка и литературы,učiteľstvo rusínskeho jazyka a literatúry (v kombinácii),,3,,1,1,107,9,,,
815,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,2,,1,4,64,9,,,
816,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,3,,1,1,64,9,,,
817,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,2,,1,4,67,9,,,
818,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,3,,1,1,67,9,,,
819,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,3,,1,1,68,9,,,
820,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,2,,1,4,68,9,,,
821,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,2,,1,4,70,9,,,
822,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,3,,1,1,70,9,,,
823,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,3,,1,1,82,9,,,
824,преподавание русского языка и литературы,učiteľstvo ruského jazyka a literatúry (v kombinácii),,2,,1,4,82,9,,,
825,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,63,9,,,
826,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,63,9,,,
827,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,64,9,,,
828,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,64,9,,,
829,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,66,9,,,
830,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,66,9,,,
831,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,67,9,,,
832,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,67,9,,,
833,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,68,9,,,
834,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,68,9,,,
835,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,69,9,,,
836,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,70,9,,,
837,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,70,9,,,
838,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,84,9,,,
839,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,84,9,,,
840,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,2,,1,4,85,9,,,
841,преподавание словацкого языка и литературы,učiteľstvo slovenského jazyka a literatúry (v kombinácii),,3,,1,1,85,9,,,
842,преподавание техники,Učiteľstvo techniky v kombinácii,,2,,0,4,22,9,,,
843,преподавание техники,učiteľstvo techniky (v kombinácii),,3,,1,1,22,9,,,
844,преподавание украинского языка и литературы,učiteľstvo ukrajinského jazyka a literatúry (v kombinácii),,3,,1,1,64,9,,,
845,преподавание украинского языка и литературы,učiteľstvo ukrajinského jazyka a literatúry (v kombinácii),,2,,1,4,64,9,,,
846,преподавание физики,učiteľstvo fyziky (v kombinácii),,2,,1,4,22,9,,,
847,преподавание физики,učiteľstvo fyziky (v kombinácii),,3,,1,1,22,9,,,
848,преподавание физики,učiteľstvo fyziky (v kombinácii),,3,,1,1,28,9,,,
849,преподавание физики,učiteľstvo fyziky (v kombinácii),,2,,1,4,28,9,,,
850,преподавание физики,učiteľstvo fyziky (v kombinácii),,3,,1,1,36,9,,,
851,преподавание физики,učiteľstvo fyziky (v kombinácii),,2,,1,4,36,9,,,
852,преподавание физики,učiteľstvo fyziky (v kombinácii),,3,,1,1,38,9,,,
853,преподавание физики,učiteľstvo fyziky (v kombinácii),,2,,1,4,38,9,,,
854,преподавание физики,učiteľstvo fyziky (v kombinácii),,2,,1,4,95,9,,,
855,преподавание физического воспитания,učiteľstvo telesnej výchovy,,2,,0,4,45,9,,,
856,преподавание физического воспитания,učiteľstvo telesnej výchovy,,3,,0,1,45,9,,,
857,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,2,,1,4,48,9,,,
858,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,3,,1,1,48,9,,,
859,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,3,,1,1,68,9,,,
860,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,2,,1,4,68,9,,,
861,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,3,,1,1,82,9,,,
862,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,2,,1,4,82,9,,,
863,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,3,,1,1,86,9,,,
864,преподавание физического воспитания,učiteľstvo telesnej výchovy (v kombinácii),,2,,1,4,86,9,,,
865,преподавание физического воспитания и тренерства,učiteľstvo telesnej výchovy a trénerstvo,,3,,0,1,68,9,17,,
866,преподавание физического воспитания и тренерства,učiteľstvo telesnej výchovy a trénerstvo,,2,,0,4,68,9,17,,
867,преподавание философии,učiteľstvo filozofie (v kombinácii),,3,,1,1,63,9,,,
